zd,zz
卵巢恶性肿瘤个人史,萎缩性子宫内膜:2 肿块:2 囊肿:2 触痛:1 子宫颈内生型中分化腺癌:1 乙状结肠表面结节、子宫直肠窝、左盆腔腹膜内见癌组织:1 淋巴结清扫术:1 阑尾炎:1 肝囊肿:1 阑尾切除术:1 累:1 淋巴结肿大:1 高血压病:1 宫颈癌术后:1 胆囊切除术:1 右侧附件卵巢高级别浆液性囊腺癌:1 卵巢癌:1 浮肿:1 平滑肌瘤:1 放疗后:1 
肺恶性肿瘤,男性:265 老年:169 淋巴结肿大:127 浮肿:110 肿块:105 精神软:104 肿瘤:89 女性:86 胸腔积液:86 咳嗽:77 左肺上叶:72 鳞状细胞癌:71 肺癌术后:69 小细胞癌:69 高血压病:67 感染:62 肺气肿:57 肺呼吸音粗:53 阻塞性炎症:50 慢性病容:47 咳痰:43 高血压:42 肺大泡:37 肺鳞癌:37 胸膜增厚:36 增生:35 肺占位:34 囊肿:33 累:32 肾囊肿:31 慢支:31 加重:30 吸烟:30 肺气肿征象:28 糖尿病:25 胸闷:24 静脉化疗:24 肿胀:23 胆囊炎:23 病理性杂音:22 胆囊结石:21 阻塞性肺炎:20 退变:20 两肺多发结节:20 椎体:19 腰椎:18 腰椎退行性变:18 右肺上叶MT:17 胸水:17 左肺呼吸音低:16 心包少量积液:15 脂肪肝:14 左肺上叶MT:14 陈旧性手术疤痕:14 肝囊肿:14 骨折:14 胃炎:13 肾结石:13 纵膈淋巴结转移:13 左肺腺癌:13 甲状腺结节:12 脉管内癌栓:12 右肺上叶占位:12 脑白质脱髓鞘改变:12 左肺上叶结节:11 右肺上叶结节:11 胸痛:11 手术史:11 发热:11 痰中带血:11 肝右叶钙化灶:10 左肺下叶结节:10 疼痛:10 空洞形成:10 气促:10 两肺多发转移:10 右肺腺癌:10 冠心病:10 乏力:10 右肺结节:9 主动脉壁钙化:9 右肺下叶MT:9 活动受限:9 湿罗音:9 慢性支气管炎:9 乳头状腺癌:9 消瘦:9 胸闷气促:9 左肺门淋巴结转移:9 咯血:8 心包积液:8 右下肺MT:8 癌转移:8 慢性阻塞性肺病:8 右肺下叶占位:8 手术瘢痕:8 不适:8 轻压痛:8 右肺呼吸音低:7 右肺下叶结节:7 主动脉管壁钙化:7 左肺上叶占位:7 回声结节:7 左肺门MT:7 右上肺结节:7 右肺上叶小结节:7 活动度差:7 心律失常:7 两肺干湿性啰音:7 腰骶椎:7 肝右叶囊肿:7 骨多发转移瘤:7 少量渗出:7 左下肺MT:7 右胸部可见手术疤痕:7 心脏病:7 :6 右肺上叶磨玻璃结节:6 轻度阻塞性通气功能障碍:6 肺炎:6 动脉粥样硬化:6 副脾:6 左肺下叶小结节:6 恶心:6 肝左叶囊肿:6 肺弥散功能轻度降低:6 脾脏钙化:6 椎间盘轻度突出:6 肝内低密度影:6 气胸:6 纳差:6 胸闷胸痛:6 胆囊切除术:6 左肺下叶占位:6 放疗后:6 右肺多发结节:6 右肺术后:6 两肺转移:6 两肺听诊干湿性罗音:6 食管癌:6 右肺中叶小结节:5 脾大:5 右侧上颌窦少许炎症:5 哮鸣音:5 食管炎:5 双肺呼吸音低:5 两肺多发小结节:5 乙肝:5 颈动脉硬化:5 心影增大:5 周围型肺癌:5 痰血:5 两肺散在钙化灶:5 颈静脉充盈:5 脑转移:5 椎间盘膨出:5 左肺中央型肺癌:4 右下肺结节:4 心动过缓:4 主动脉弓钙化:4 右肺下叶小结节:4 血栓:4 支气管病变:4 早搏:4 左肺下叶病灶:4 紧张:4 律欠齐:4 左肺上叶MT术后:4 桶状胸:4 肺部结节:4 腔梗灶:4 腹痛:4 前列腺钙化:4 房颤:4 主动脉弓少许钙化:4 食管MT:4 肺弥散功能中度降低:4 盆腔少量积液:4 肺部阴影:4 头晕:4 陈旧手术疤痕:4 腰椎退行性改变:4 左肺中央型MT:4 右肺门占位:4 出血:4 胆囊息肉:4 背痛:4 头痛:4 肺结核:4 前列腺钙化灶:3 右肺中叶占位:3 右肺小结节:3 左室舒张功能欠佳:3 贫血:3 肾区叩痛:3 左肺下叶MT术后:3 肺部感染:3 甲状腺右侧叶结节:3 听诊呼吸音偏低:3 两肺散在纤维灶:3 晕厥:3 两侧胸腔少量积液:3 左肾低密度灶:3 右肺中叶周围型乳头状为主腺癌:3 少量异型细胞:3 左肺MT术后:3 两肺结节:3 背部疼痛:3 肝内钙化灶:3 椎管狭窄:3 左肺门占位:3 左中肺结节灶:3 右肺中叶MT:3 异型增生:3 粥样斑块形成:3 高血压性心脏病:3 干咳:3 肝内低密度灶:3 左肺下叶背段MT:3 黏膜慢性炎:3 右肺MT:3 右肺上叶MT术后:3 压痛明显:3 右肺上叶钙化灶:3 脑出血:3 左肺结节:3 局部骨质密度增高:3 磨玻璃样结节:3 右上肺病灶:3 双眼活动自如:3 声音嘶哑:3 混合性通气功能障碍:3 左肺上叶小结节:3 亚急性:3 右肺门MT:3 重度混合性通气功能障碍:3 左肺阴影:3 畏寒发热:3 腹胀:3 左侧颞部占位:2 肝脏多发囊肿:2 脾脏增大:2 心悸:2 两肺多发病变:2 心律不齐:2 骨痂:2 右肺中叶MT术后:2 左肺下叶腺癌:2 新生物表面白色坏死物:2 右肺下叶肺门旁MT:2 十二指肠乳头部隆起型中-低分化腺癌:2 甲状腺右侧叶稍低密度:2 前列腺病史:2 关节畸形:2 甲状腺左侧叶结节:2 左肺上叶结节影:2 主动脉硬化:2 右肺中下叶炎症:2 侵犯纵隔:2 左肺上叶MT侵犯邻近肋骨:2 左房增大:2 双下肢轻度水肿:2 心界左侧扩大:2 周围少许炎症:2 两肺弥漫性病变:2 左下肺MT治疗:2 全腹及反跳痛:2 左肺门淋巴结增大:2 阻塞性肺不张:2 骨转移瘤:2 两侧胸膜:2 左肺中央型癌:2 脊柱侧弯:2 右肺下叶结节灶:2 心衰:2 脊椎退行性变:2 两肺上叶结节:2 动脉粥样斑块:2 完全性右束支传导阻滞:2 慢阻肺:2 主动脉瓣钙化:2 上颌骨腭部恶性黑色素瘤根治术:2 右侧呼吸音低:2 左侧顶叶异常信号:2 脑内多发转移灶:2 结肠炎:2 左下肺小细胞肺癌:2 心动过速:2 慢性阻塞性肺疾病:2 左下肺周围型MT伴远端炎症:2 低钾血症:2 胸闷气急:2 右肺下叶周围型实体型腺癌:2 腰椎间盘突出:2 ST-T改变:2 囊性暗区:2 胆汁反流:2 右中肺MT术后:2 宫颈癌术后:2 右侧髂骨转移灶:2 脑梗死:2 两肺呼吸音低:2 左室高电压:2 剑突下压痛:2 左肺上叶周围型腺泡型腺癌:2 头昏:2 跛行:2 保守治疗:2 阻塞性肺气肿:2 肝内胆管扩张:2 右上肺不张:2 左肺上叶下舌段少量纤维灶:2 两肺散在纤维增殖灶:2 脑改变:2 抗感染治疗:2 肺弥散功能重度降低:2 左下肺胸膜下病灶:2 右肺中叶病灶:2 饮酒史:2 纤维组织增生:2 白粘痰:2 前列腺增大:2 右肺阴影:2 淋巴结清扫术:2 主动脉壁及冠脉钙化:2 粘膜充血明显:2 饮酒:2 两上肺病灶:2 皮下结节:2 结肠癌:2 风湿性关节炎:2 狭窄气道明显变宽通畅:2 脾肿大:2 胃术后改变:2 左肺上叶中央型MT:2 多发结石:2 粘稠痰:2 结肠肠壁增厚水肿:2 呕吐:2 骨质疏松:2 低蛋白血症:2 椎间盘突出:2 轻度脱髓鞘改变:2 畏寒:2 向前滑移:2 左上叶粘膜浸润:2 左肺下叶渗出:2 右肺MT术后:2 阑尾炎:2 皮疹:2 窦缓:2 两中上肺多发纤维渗出灶:2 消化道出血:2 左上叶新生物完全阻塞:2 左上肺尖后段肺癌:2 胀痛:2 脂肪瘤:2 轻度脂肪肝:2 颈动脉粥样硬化:1 膀胱结石:1 胃溃疡:1 多发钙化灶:1 上皮样改变伴小区凝固性坏死:1 右侧锁骨上窝中等回声团块:1 左侧口角下垂:1 腰部疼痛:1 窦速:1 血压高:1 腔隙性脑梗塞:1 右侧枕顶叶:1 右腿上抬受限:1 腰腿痛:1 左上肺肺不张:1 双乳囊性结节:1 直肠癌手术史:1 左上肺叶周围型中分化腺泡为主腺癌:1 弥漫性结节:1 肢体抽搐:1 左室增大:1 椎旁压痛:1 胃炎病史:1 两上肺多发细小结节:1 左上肺癌根治术:1 左眼视物不清:1 左侧斜裂区小结节:1 左肺多发占位:1 右肺中叶周围型腺泡为主型腺癌:1 病情反复:1 右肺中叶小钙化结节:1 左侧顶叶转移瘤:1 淋巴瘤:1 小三阳:1 甲减:1 左上肺叶周围型低分化实体性腺癌:1 白细胞减少:1 侵犯右肺动脉:1 左上肺MT术后:1 右肺下叶周围型腺癌:1 进食哽噎:1 支气管扩张:1 左肾盂积水:1 组织坏死:1 子宫肌瘤:1 阑尾增粗:1 两下肺呼吸音低:1 扩张型心肌病:1 核素内照射治疗:1 肥大:1 脉滑数:1 左侧肾上腺区占位:1 HIV抗体阳性:1 胆结石:1 支气管略狭窄:1 胃大部切除术:1 右肺下叶周围型腺泡型腺癌:1 食道癌根治术:1 车祸:1 腹膜后多发淋巴结转移:1 左侧全肺切除术后:1 左下肺团块灶:1 左上肺周围型低分化实体型腺癌:1 轻度压痛:1 肺部病灶:1 肝顶部囊肿:1 左侧肢体:1 脑梗塞:1 体重下降:1 肿物:1 双侧腰背部:1 肝炎:1 短阵房速:1 肝功能异常:1 活动轻度受限:1 左踇趾:1 左肺下叶支气管轻度扩张:1 左肺上叶下舌段占位:1 腔梗:1 异常Q波:1 腰部局部压痛:1 左侧局部肋骨破坏:1 胰十二指肠切除术:1 蜘蛛痣:1 右下肺叶周围型浸润性黏液型腺癌:1 心脏病病史:1 两上肺钙化灶:1 右下肢放射痛:1 前列腺癌:1 心肌梗死:1 右侧肢体乏力:1 上腹部压痛:1 右肺中叶肺不张:1 肝多发占位:1 酸胀不适:1 气急:1 腹水:1 皮肌炎:1 咽痛:1 前列腺手术:1 无力:1 左上肺MT伴不张:1 右肺中叶磨玻璃密度影:1 乙结肠MT:1 双肾多发小结晶:1 左肺上叶周围型实性为主低分化腺癌:1 腔隙性脑梗死:1 血糖偏高:1 隆突略增宽:1 白色粘痰:1 血小板减少:1 直肠癌:1 食管MT术后改变:1 双肾钙乳症:1 右肺上叶少量胸膜渗出灶考虑:1 酸痛:1 颈椎退行性变:1 左肺MT治疗:1 腹泻:1 纵隔及气管隆突下淋巴结肿大:1 咽痛不适:1 前上纵膈占位:1 左肺下叶大片高密度影:1 左主支气管坏死组织及肉芽肿:1 回旋支PCI术:1 室早:1 两肺上叶纤维增殖灶:1 肝脏多发小囊肿:1 白色泡沫痰:1 痛风:1 脑白质区脱髓鞘改变:1 干燥综合征:1 两肺小结节灶:1 呼吸急促:1 视物旋转:1 甲状腺右侧叶囊性结节:1 矽肺:1 肝右叶小囊肿:1 子宫内FDG代谢增高灶:1 直肠中分化腺癌:1 左锁骨上淋巴结转移:1 甲状腺弥漫性病变:1 水样便:1 胃窦息肉:1 上腹压痛:1 肌力下降:1 胃壁增厚:1 右肺上叶高密度影:1 左肺下叶内背段活检标本小细胞癌:1 右下肺周围型腺泡型腺癌:1 左肺下叶结节灶:1 胃窦粘膜慢性中度浅表性炎:1 左肺下叶周围型MT:1 食管中上段MT:1 右上肺增殖灶:1 右下肺钙化灶:1 脉管内见癌栓:1 破溃:1 右肺下叶病变:1 颅骨信号不均:1 起搏器置入术:1 左侧中央型肺癌:1 右肺上叶不张:1 慢性肝病:1 腰椎间盘突出症:1 两肺纹理增多:1 左主支气管非小细胞癌:1 右上纵隔占位治疗后:1 腹部包块:1 阵发性咳嗽:1 腰痛:1 右肺上叶阴影:1 双下肢水肿:1 频发多源房早:1 结节性甲状腺肿:1 左肺下叶背段占位:1 支气管疾患:1 口唇紫绀:1 静脉曲张:1 胃癌:1 右肺下叶周围型浸润性腺癌:1 中重度限制性通气功能障碍:1 颈部肿块:1 双侧筛窦炎:1 近端结肠梗阻:1 质地偏硬:1 肝多发血管瘤:1 双侧额叶软化灶:1 左下肺多发结节:1 右肺MT治疗后:1 颜面部水肿:1 息肉:1 白内障:1 右肺中叶纤维灶:1 症状加重:1 手术病史:1 右肺散在渗出灶:1 椎体异常信号:1 满月脸:1 T波改变:1 腰背痛:1 苔黄腻:1 心包腔少量积液:1 右肺下叶胸膜下结节:1 左肺上叶周围型浸润性腺癌:1 听力下降:1 行走不稳:1 隐痛:1 低热:1 体重减轻:1 肝硬化:1 阵发性房颤:1 左上肺支气管腔内及其周围占位考虑:1 斑块形成:1 浸润性腺癌伴粘液分泌:1 左侧胸膜结节:1 慢支伴感染:1 外伤:1 颜面部肿胀:1 胸水细胞块找到癌细胞阳性:1 双肺呼吸音稍粗:1 破碎:1 明显干湿性啰音:1 脉细:1 肝内多发囊肿:1 右下肺纤维灶:1 膝关节:1 右下肢血管再通术支架置入术:1 左心室高电压:1 结肠多发息肉:1 呼吸衰竭:1 右上肺陈旧灶:1 双侧颈总动脉内中膜不均匀增厚:1 右房增大:1 主动脉弓旁稍肿大淋巴结:1 血便:1 左室舒张功能减退:1 左肺上叶下舌段周围型肺癌:1 生理弧度变直:1 瘀斑:1 脑梗塞后遗症:1 右肺渗出灶:1 视物模糊:1 急性起病:1 轻度混合性通气功能障碍:1 右肺尖结节灶:1 刺痛:1 左肺下叶周围型微乳头状腺癌:1 
脊柱结核,明确外伤史:1 腰椎:1 手术瘢痕:1 
甲状腺结节,甲状腺结节:91 女性:84 肿块:50 甲状腺肿大:37 颈部肿块:33 浮肿:31 随吞咽上下移动:27 心肺听诊阴性:25 老年:24 男性:24 甲状腺左侧叶结节:15 甲状腺右侧叶结节:12 回声结节:10 结节性甲状腺肿:9 青年:8 颈部结节:8 病理性杂音:8 甲状腺弥漫性病变:6 边界欠清:5 混合回声结节:4 高血压:4 囊肿:4 甲状腺包块:4 甲状腺回声增粗:3 糖尿病:3 手术瘢痕:3 甲状腺内多发结节:3 甲状腺腺瘤:3 高血压病:3 精神软:2 脂肪肝:2 出血:2 甲状腺左侧结节:2 甲状腺乳头状癌:2 增生:2 手术史:2 手术治疗:2 甲状腺肿大伴多发结节:2 颈部包块:2 疼痛:2 胆囊炎:2 疼痛不适:1 低回声实质性团块:1 气管受压右移:1 肺结核:1 脑梗塞病史:1 结肠炎:1 肺呼吸音粗:1 胀痛:1 冠心病:1 破溃:1 脂肪瘤:1 肾区叩痛:1 甲状腺左侧叶钙化灶:1 咳嗽:1 阑尾炎:1 甲状腺右侧叶小结节:1 甲状腺双侧叶多发结节:1 甲亢:1 回声改变:1 强回声:1 多发钙化灶:1 痛苦:1 双侧甲状腺Ⅰ°肿大:1 脂肪肝倾向:1 甲状腺机能减退:1 甲状腺右侧叶囊性结节:1 子宫肌瘤:1 微钙化:1 陈旧手术疤痕:1 胆囊结石:1 不适:1 甲状腺术后:1 肝囊肿:1 颈部稍肿大:1 脉涩:1 突眼:1 
胆囊腺肌症,腺肌症:8 肾区叩痛:7 回声结节:6 胆囊炎:4 浮肿:4 男性:3 肝囊肿:2 右肾小结石:1 脂肪肝倾向:1 息肉:1 胆囊底部局部壁增厚:1 胆囊结石:1 腹痛:1 胆囊壁多发胆固醇结晶:1 右上腹不适:1 脂肪肝:1 压痛明显:1 
糖尿病,口干:81 多饮:79 湿罗音:76 血糖升高:56 多尿:44 男性:33 糖尿病:33 女性:32 高血压:31 病理性杂音:27 消瘦:26 高血压病:26 全腹及反跳痛:24 浮肿:19 老年:18 乏力:17 肺呼吸音粗:14 加重:13 尿糖:12 冠心病:11 体重减轻:10 脉细:10 精神软:10 肿瘤:9 血糖控制欠佳:9 麻木:8 咽部:7 酮症酸中毒:6 头昏:5 体重下降:4 甲状腺结节:4 胆囊炎:4 头晕:4 脂肪肝:4 苔薄黄:4 胆囊结石:4 血糖偏高:4 ST-T改变:4 红肿:4 不适:4 白内障:3 肝炎:3 恶心:3 双肺呼吸音低:3 高脂血症:3 支气管病变:3 青年:3 胃炎:3 视网膜病变:3 头痛:3 感染:3 停药:3 视物模糊:3 血糖增高:3 发热:3 颈动脉硬化:3 疼痛:3 左侧肢体:2 胆囊切除术:2 心悸:2 纳差:2 吸烟:2 回声结节:2 肾结石:2 血压偏高:2 呕吐:2 胆囊息肉:2 肿胀:2 腹膨隆:2 活动障碍:2 口干不适:2 胸闷:2 周围神经病变:2 青光眼:2 增生:2 手术瘢痕:2 肾区叩痛:2 轻度脂肪肝:2 心慌:2 高血压史:2 心脏病:2 尿急:2 肾囊肿:2 胰腺炎:2 轻度压痛:2 轻压痛:2 心脏支架植入术:1 脑白质区脱髓鞘改变:1 室早:1 前列腺钙化灶:1 颈动脉斑块:1 陈旧性手术疤痕:1 短阵房速:1 尿痛:1 皮炎:1 烟酒嗜好:1 进食困难:1 满月脸:1 心动过缓:1 肾功能正常:1 进食:1 肝颈静脉回流征阳性:1 脾切除术:1 胸膜增厚:1 双下肢轻度水肿:1 抽搐:1 糖尿病周围神经病变:1 癫痫:1 不规律服药:1 颈部包块:1 右侧颈总动脉狭窄:1 脉涩:1 苔白腻:1 睡眠障碍:1 口腔溃疡:1 甲状腺弥漫性病变:1 左室高电压:1 左室舒张功能减退:1 酸胀不适:1 昏迷:1 完全性右束支传导阻滞:1 频发房早:1 肝内脂肪增多:1 痛风:1 颈动脉狭窄:1 头昏乏力:1 子宫偏大:1 停经:1 早搏:1 手术治疗:1 肥胖:1 外伤:1 双下肢凹陷性水肿:1 肝囊肿:1 慢性肾病:1 黄疸:1 脉弦:1 出血:1 感冒:1 嗳气:1 三联律:1 颈静脉充盈:1 肿块:1 膝关节:1 胸痛:1 破溃:1 痛风性关节炎:1 粥样斑块形成:1 出汗:1 听力下降:1 局部压痛:1 心动过速:1 关节肿痛:1 无力:1 胆汁反流:1 压痛明显:1 房颤:1 子宫肌瘤手术:1 骨折:1 囊肿:1 疱疹:1 胸腔积液:1 两肺纹理增多:1 尿频:1 脑梗塞:1 自行停药:1 消化道出血:1 右肺上叶钙化灶:1 触痛:1 腰痛:1 肥大:1 肺结核:1 颈静脉略充盈:1 腰椎间盘突出:1 饮酒:1 饮酒史:1 动脉粥样硬化:1 脂肪瘤:1 左肾轻度积水:1 血糖高:1 累:1 酸痛:1 手术史:1 外伤史:1 肝右叶囊肿:1 甲状腺左侧叶结节:1 胎儿:1 心律失常:1 脉细弱:1 头晕乏力:1 脉细数:1 咳嗽:1 脾肿大:1 隐血:1 食管炎:1 
股骨头无菌性坏死,疼痛:8 轻压痛:8 肿胀:8 活动受限:7 跛行:7 加重:5 骨折:1 右股骨头坏死:1 双侧股骨头无菌性坏死:1 摔伤:1 女性:1 右髋股骨头坏死:1 
慢性冠状动脉供血不足,高血压:9 浮肿:9 胸闷:8 糖尿病:7 男性:6 头晕:5 咳痰:4 肺呼吸音粗:4 咳嗽:4 胸痛:4 心悸:4 女性:4 老年:3 加重:2 T波改变:2 湿罗音:2 气促:2 畏寒:2 轻度胆囊炎:1 呼吸困难:1 室早:1 慢支:1 咯血:1 副脾:1 房早:1 晕厥:1 腰椎间盘突出:1 脂肪肝:1 短阵房速:1 肺炎:1 房颤:1 喘息:1 全心扩大:1 肺气肿征象:1 乏力:1 出汗:1 心功能不全:1 心影增大:1 左肺上叶:1 胆囊炎:1 心慌:1 ST-T改变:1 心律失常:1 嗳气:1 发热:1 两肺散在渗出:1 增生:1 右肺下叶炎性病变:1 不适:1 疼痛:1 两侧胸腔少量积液:1 
多处挫伤,疼痛:27 车祸:22 出血:14 女性:10 肿胀:9 全腹及反跳痛:7 男性:6 精神软:6 骨折:6 外伤:5 局部压痛:4 腰椎:4 压痛明显:4 轻压痛:4 渗血:3 受伤:3 淤青:3 活动受限:2 皮肤挫伤:2 急性貌:2 腰椎退行性改变:2 痛苦:2 高血压:2 支气管病变:2 高血压病:2 右侧颞部:1 听力下降:1 囊肿:1 肾囊肿:1 肺气肿:1 背部疼痛:1 右肘挫伤:1 脂肪肝:1 退变:1 扭伤:1 肾区叩痛:1 左肾轻度积水:1 右上肺陈旧灶:1 膝关节:1 陈旧手术疤痕:1 头皮血肿:1 驼背:1 右侧胸膜改变:1 心影增大:1 皮肤烫伤:1 感染:1 活动障碍:1 两肺纹理增粗:1 左侧胸部压痛:1 椎体:1 胸膜增厚:1 摔伤:1 支气管扩张:1 腰部及全身多处疼痛:1 左眼挫伤:1 肝占位:1 两侧侧脑室旁缺血性改变:1 肿块:1 右顶部血肿:1 左肩部、前臂及膝部、小腿等多处擦伤:1 致伤:1 脉弦:1 活动不利:1 
取除骨折内固定装置,骨折:62 手术瘢痕:24 明确外伤史:19 陈旧性手术疤痕:16 男性:15 女性:12 腰椎:6 摔伤:6 膝关节:5 外伤:5 骨擦感:4 活动受限:3 陈旧手术疤痕:3 老年:3 活动轻度受限:3 退变:2 重物压伤:2 湿罗音:2 高血压病:2 椎体:2 青年:1 糖尿病:1 骨痂:1 车祸:1 感染:1 椎体压缩性改变:1 腰痛:1 红肿:1 发热:1 手术治疗:1 疼痛:1 摔伤致右肩肿痛:1 
